time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
17900  0.000720  0.989511   0.000727  0.999417   0.000728  1.001258   
18000  0.000720  0.989403   0.000727  0.999411   0.000728  1.001275   
18100  0.000720  0.989294   0.000727  0.999404   0.000728  1.001292   
18200  0.000720  0.989185   0.000727  0.999397   0.000728  1.001309   
18300  0.000719  0.989075   0.000727  0.999389   0.000728  1.001326   
18400  0.000719  0.988965   0.000727  0.999381   0.000728  1.001343   
18500  0.000719  0.988855   0.000727  0.999373   0.000728  1.001360   
18600  0.000719  0.988745   0.000727  0.999365   0.000728  1.001377   
18700  0.000719  0.988635   0.000727  0.999357   0.000728  1.001394   
18800  0.000719  0.988524   0.000727  0.999348   0.000728  1.001411   
18900  0.000719  0.988413   0.000727  0.999339   0.000728  1.001428   
19000  0.000719  0.988303   0.000727  0.999329   0.000728  1.001445   
19100  0.000719  0.988192   0.000727  0.999320   0.000728  1.001461   
19200  0.000719  0.988081   0.000727  0.999310   0.000728  1.001478   
19300  0.000719  0.987970   0.000727  0.999300   0.000728  1.001495   
19400  0.000719  0.987859   0.000727  0.999289   0.000728  1.001511   
19500  0.000718  0.987749   0.000727  0.999278   0.000728  1.001528   
19600  0.000718  0.987638   0.000727  0.999267   0.000728  1.001544   
19700  0.000718  0.987527   0.000727  0.999256   0.000729  1.001561   
19800  0.000718  0.987417   0.000727  0.999244   0.000729  1.001577   
19900  0.000718  0.987307   0.000727  0.999232   0.000729  1.001593   
20000  0.000718  0.987198   0.000727  0.999220   0.000729  1.001609   
