time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
14700  0.000722  0.993300   0.000727  0.999175   0.000728  1.000791   
14800  0.000722  0.993216   0.000727  0.999176   0.000728  1.000805   
14900  0.000722  0.993130   0.000727  0.999177   0.000728  1.000819   
15000  0.000722  0.993043   0.000727  0.999177   0.000728  1.000834   
15100  0.000722  0.992954   0.000727  0.999177   0.000728  1.000850   
15200  0.000722  0.992864   0.000727  0.999177   0.000728  1.000866   
15300  0.000722  0.992772   0.000727  0.999176   0.000728  1.000883   
15400  0.000722  0.992678   0.000727  0.999174   0.000728  1.000901   
15500  0.000722  0.992583   0.000727  0.999171   0.000728  1.000920   
15600  0.000722  0.992487   0.000727  0.999168   0.000728  1.000939   
15700  0.000722  0.992390   0.000727  0.999165   0.000728  1.000960   
15800  0.000722  0.992291   0.000727  0.999160   0.000728  1.000981   
15900  0.000722  0.992191   0.000727  0.999155   0.000728  1.001003   
16000  0.000722  0.992091   0.000727  0.999149   0.000728  1.001026   
16100  0.000722  0.991989   0.000727  0.999142   0.000728  1.001049   
16200  0.000721  0.991886   0.000727  0.999135   0.000728  1.001074   
16300  0.000721  0.991783   0.000727  0.999127   0.000728  1.001099   
16400  0.000721  0.991679   0.000727  0.999118   0.000728  1.001124   
16500  0.000721  0.991573   0.000727  0.999109   0.000728  1.001150   
16600  0.000721  0.991468   0.000727  0.999099   0.000728  1.001177   
16700  0.000721  0.991361   0.000727  0.999089   0.000728  1.001204   
16800  0.000721  0.991254   0.000727  0.999078   0.000728  1.001231   
16900  0.000721  0.991146   0.000727  0.999067   0.000728  1.001259   
17000  0.000721  0.991038   0.000727  0.999056   0.000728  1.001286   
17100  0.000721  0.990929   0.000727  0.999044   0.000728  1.001314   
17200  0.000721  0.990820   0.000727  0.999032   0.000728  1.001341   
17300  0.000721  0.990710   0.000727  0.999019   0.000728  1.001367   
17400  0.000721  0.990600   0.000727  0.999007   0.000728  1.001394   
17500  0.000720  0.990489   0.000727  0.998994   0.000728  1.001420   
17600  0.000720  0.990378   0.000727  0.998981   0.000728  1.001445   
17700  0.000720  0.990267   0.000727  0.998969   0.000728  1.001469   
17800  0.000720  0.990155   0.000727  0.998956   0.000728  1.001492   
17900  0.000720  0.990043   0.000727  0.998943   0.000728  1.001515   
18000  0.000720  0.989930   0.000727  0.998930   0.000728  1.001536   
18100  0.000720  0.989818   0.000727  0.998917   0.000729  1.001556   
18200  0.000720  0.989705   0.000727  0.998904   0.000729  1.001575   
18300  0.000720  0.989591   0.000727  0.998892   0.000729  1.001593   
18400  0.000720  0.989478   0.000727  0.998879   0.000729  1.001609   
18500  0.000720  0.989365   0.000727  0.998867   0.000729  1.001624   
18600  0.000720  0.989251   0.000727  0.998854   0.000729  1.001638   
18700  0.000719  0.989137   0.000727  0.998842   0.000729  1.001650   
18800  0.000719  0.989023   0.000727  0.998830   0.000729  1.001661   
18900  0.000719  0.988909   0.000727  0.998818   0.000729  1.001671   
19000  0.000719  0.988795   0.000727  0.998806   0.000729  1.001679   
19100  0.000719  0.988681   0.000726  0.998794   0.000729  1.001687   
19200  0.000719  0.988567   0.000726  0.998783   0.000729  1.001693   
19300  0.000719  0.988453   0.000726  0.998771   0.000729  1.001698   
19400  0.000719  0.988339   0.000726  0.998759   0.000729  1.001702   
19500  0.000719  0.988225   0.000726  0.998748   0.000729  1.001704   
19600  0.000719  0.988111   0.000726  0.998736   0.000729  1.001706   
19700  0.000719  0.987997   0.000726  0.998725   0.000729  1.001707   
19800  0.000719  0.987884   0.000726  0.998713   0.000729  1.001708   
19900  0.000718  0.987770   0.000726  0.998702   0.000729  1.001708   
20000  0.000718  0.987658   0.000726  0.998690   0.000729  1.001707   
